Neighborhood;Latitude;Longitude
Aakkula;61.484253;23.838243
Aitoniemi;61.567178;23.822284
Ala-Pispala;61.505399;23.702884
Amuri A;61.499639;23.744413
Amuri B;61.499639;23.744413
Atala;61.503074;23.908347
Epilä;61.505720;23.673316
Epilänharju;61.514067;23.659385
Finlayson;61.501933;23.755450
Haihara;61.475935;23.879479
Hakametsä;61.489834;23.829294
Hallila;61.464759;23.829035
Hankkio;61.479032;23.878959
Hatanpää;61.482560;23.756213
Haukiluoma;61.518774;23.605400
Hervanta;61.450903;23.851424
Hervantajärvi;61.436032;23.866037
Holvasti;61.485825;23.931305
Huikas;61.496667;23.842416
Hyhky;61.504050;23.689757
Härmälä;61.470583;23.739260
Ikuri;61.511202;23.596787
Jokipohja;61.478840;23.805769
Jussinkylä;61.502560;23.768084
Järvensivu;61.488700;23.804924
Kaakinmaa;61.493447;23.750052
Kaarila;61.502013;23.664665
Kaleva;61.498642;23.802197
Kalevanharju;61.492486;23.783433
Kalevanrinne;61.493415;23.808961
Kalkku;61.497028;23.585739
Kaukajärvi;61.470183;23.876313
Kauppi;61.507381;23.815116
Kissanmaa;61.500139;23.819561
Koivistonkylä;61.472835;23.789159
Korkinmäki;61.471227;23.827346
Kumpula;61.511618;23.933710
Kyttälä A;61.498341;23.768590
Kyttälä B;61.498341;23.768590
Kämmenniemi;61.627972;23.839381
Lahdesjärvi;61.454647;23.783919
Lakalaiva;61.4586641;23.7555184
Lamminpää;61.522162;23.632893
Lapinniemi;61.511674;23.771920
Lappi;61.508931;23.779491
Leinola;61.485591;23.916690
Lentävänniemi;61.532050;23.703518
Lielahti;61.516118;23.669139
Liisankallio;61.499121;23.791252
Linnainmaa;61.491281;23.897415
Lintulampi;61.525938;23.669731
Lukonmäki;61.464659;23.850877
Messukylä;61.485298;23.844155
Multisilta;61.439135;23.749654
Muotiala;61.477114;23.823014
Myllypuro;61.5026189;23.5662586
Nalkala;61.493789;23.756273
Nekala;61.483690;23.793149
Niemenranta;61.521144;23.685562
Niemi;61.528464;23.686655
Niihama;61.516474;23.876542
Nirva;61.465529;23.791556
Nurmi;61.541518;23.928053
Ojala;61.516301;23.952620
Olkahinen;61.525562;23.942418
Osmonmäki;61.505982;23.778676
Pappila;61.490865;23.863134
Peltolammi;61.453009;23.754549
Petsamo;61.507344;23.796602
Pohtola;61.536973;23.673114
Polso;61.695498;23.825763
Pyynikinrinne;61.497270;23.739506
Pyynikki;61.493881;23.726347
Rahola;61.498364;23.631977
Rantaperkiö;61.473596;23.753122
Ratina;61.493531;23.766980
Rautaharkko;61.472532;23.770755
Ristimäki;61.505067;23.642134
Ristinarkku;61.488166;23.855914
Ruotula;61.504298;23.840285
Rusko;61.451953;23.887769
Ryydynpohja;61.527716;23.653430
Santalahti;61.505767;23.713832
Sarankulma;61.457310;23.731164
Sorila;61.567944;23.955311
Särkänniemi;61.505006;23.742598
Taatala;61.470296;23.778140
Tahmela;61.496671;23.709773
Takahuhti;61.498761;23.859019
Tammela A;61.501752;23.780440
Tammela B;61.501752;23.780440
Tammerkoski;61.494170;23.761542
Tampella;61.504811;23.762547
Tasanne;61.517894;23.925815
Terälahti;61.707911;23.900996
Tesomajärvi;61.507005;23.623261
Tohloppi;61.512601;23.627711
Tulli;61.496894;23.778877
Turtola;61.477485;23.842068
Uusikylä;61.496544;23.829670
Vehmainen;61.477930;23.917352
Veisu;61.469617;23.809490
Velaatta;61.744369;23.918008
Vihioja;61.477298;23.789451
Viiala;61.473794;23.852842
Viinikka;61.486531;23.782737
Viitapohja;61.649688;24.042918
Villilä;61.492933;23.618832
Vuohenoja;61.490027;23.826532
Vuores;61.434749;23.808307
Ylä-Pispala;61.501747;23.714986
