,Neighborhood,Latitude,Longitude
0,Aakkula,61.484253,23.838243
1,Aitoniemi,61.567178,23.822284
2,Ala-Pispala,61.505399,23.702884
3,Amuri A,61.499639,23.744413
4,Amuri B,61.499639,23.744413
5,Atala,61.503074,23.908347
6,Epilä,61.505720,23.673316
7,Epilänharju,61.514067,23.659385
8,Finlayson,61.501933,23.755450
9,Haihara,61.475935,23.879479
10,Hakametsä,61.489834,23.829294
11,Hallila,61.464759,23.829035
12,Hankkio,61.479032,23.878959
13,Hatanpää,61.482560,23.756213
14,Haukiluoma,61.518774,23.605400
15,Hervanta,61.450903,23.851424
16,Hervantajärvi,61.436032,23.866037
17,Holvasti,61.485825,23.931305
18,Huikas,61.496667,23.842416
19,Hyhky,61.504050,23.689757
20,Härmälä,61.470583,23.739260
21,Ikuri,61.511202,23.596787
22,Jokipohja,61.478840,23.805769
23,Jussinkylä,61.502560,23.768084
24,Järvensivu,61.488700,23.804924
25,Kaakinmaa,61.493447,23.750052
26,Kaarila,61.502013,23.664665
27,Kaleva,61.498642,23.802197
28,Kalevanharju,61.492486,23.783433
29,Kalevanrinne,61.493415,23.808961
30,Kalkku,61.497028,23.585739
31,Kaukajärvi,61.470183,23.876313
32,Kauppi,61.507381,23.815116
33,Kissanmaa,61.500139,23.819561
34,Koivistonkylä,61.472835,23.789159
35,Korkinmäki,61.471227,23.827346
36,Kumpula,61.511618,23.933710
37,Kyttälä A,61.498341,23.768590
38,Kyttälä B,61.498341,23.768590
39,Kämmenniemi,61.627972,23.839381
40,Lahdesjärvi,61.454647,23.783919
41,Lakalaiva,61.4586641,23.7555184
42,Lamminpää,61.522162,23.632893
43,Lapinniemi,61.511674,23.771920
44,Lappi,61.508931,23.779491
45,Leinola,61.485591,23.916690
46,Lentävänniemi,61.532050,23.703518
47,Lielahti,61.516118,23.669139
48,Liisankallio,61.499121,23.791252
49,Linnainmaa,61.491281,23.897415
50,Lintulampi,61.525938,23.669731
51,Lukonmäki,61.464659,23.850877
52,Messukylä,61.485298,23.844155
53,Multisilta,61.439135,23.749654
54,Muotiala,61.477114,23.823014
55,Myllypuro,61.5026189,23.5662586
56,Nalkala,61.493789,23.756273
57,Nekala,61.483690,23.793149
58,Niemenranta,61.521144,23.685562
59,Niemi,61.528464,23.686655
60,Niihama,61.516474,23.876542
61,Nirva,61.465529,23.791556
62,Nurmi,61.541518,23.928053
63,Ojala,61.516301,23.952620
64,Olkahinen,61.525562,23.942418
65,Osmonmäki,61.505982,23.778676
66,Pappila,61.490865,23.863134
67,Peltolammi,61.453009,23.754549
68,Petsamo,61.507344,23.796602
69,Pohtola,61.536973,23.673114
70,Polso,61.695498,23.825763
71,Pyynikinrinne,61.497270,23.739506
72,Pyynikki,61.493881,23.726347
73,Rahola,61.498364,23.631977
74,Rantaperkiö,61.473596,23.753122
75,Ratina,61.493531,23.766980
76,Rautaharkko,61.472532,23.770755
77,Ristimäki,61.505067,23.642134
78,Ristinarkku,61.488166,23.855914
79,Ruotula,61.504298,23.840285
80,Rusko,61.451953,23.887769
81,Ryydynpohja,61.527716,23.653430
82,Santalahti,61.505767,23.713832
83,Sarankulma,61.457310,23.731164
84,Sorila,61.567944,23.955311
85,Särkänniemi,61.505006,23.742598
86,Taatala,61.470296,23.778140
87,Tahmela,61.496671,23.709773
88,Takahuhti,61.498761,23.859019
89,Tammela A,61.501752,23.780440
90,Tammela B,61.501752,23.780440
91,Tammerkoski,61.494170,23.761542
92,Tampella,61.504811,23.762547
93,Tasanne,61.517894,23.925815
94,Terälahti,61.707911,23.900996
95,Tesomajärvi,61.507005,23.623261
96,Tohloppi,61.512601,23.627711
97,Tulli,61.496894,23.778877
98,Turtola,61.477485,23.842068
99,Uusikylä,61.496544,23.829670
100,Vehmainen,61.477930,23.917352
101,Veisu,61.469617,23.809490
102,Velaatta,61.744369,23.918008
103,Vihioja,61.477298,23.789451
104,Viiala,61.473794,23.852842
105,Viinikka,61.486531,23.782737
106,Viitapohja,61.649688,24.042918
107,Villilä,61.492933,23.618832
108,Vuohenoja,61.490027,23.826532
109,Vuores,61.434749,23.808307
110,Ylä-Pispala,61.501747,23.714986
